date,S1,S2,S3
2025-10-29C,1,1,1
2025-10-30A,1,1,1
2025-10-30C,1,1,1
2025-10-31A,1,1,1
2025-10-31C,1,1,0
2025-11-03A,1,1,0
2025-11-03C,1,1,0
2025-11-04A,1,1,0
2025-11-04C,1,1,0
2025-11-05A,1,1,0
2025-11-05C,1,1,0
2025-11-06A,1,1,0
2025-11-06C,1,1,0
2025-11-07A,1,1,0
2025-11-07C,1,1,0
2025-11-10A,1,1,0
2025-11-10C,1,1,1
2025-11-11A,1,1,1
2025-11-11C,1,1,1
2025-11-12A,1,1,1
2025-11-12C,1,1,1
2025-11-13A,1,1,1
2025-11-13C,1,1,0
2025-11-14A,1,1,0
2025-11-14C,1,1,0
2025-11-17A,1,1,0
2025-11-17C,1,1,0
2025-11-18A,1,1,0
2025-11-18C,1,1,0
2025-11-19A,1,1,0
2025-11-19C,1,1,0
2025-11-20A,1,1,0
2025-11-20C,0,0,0
2025-11-21A,0,0,0
2025-11-21C,1,0,0
2025-11-24A,1,0,0
2025-11-24C,1,1,1
2025-11-25A,1,1,1
2025-11-25C,1,1,1
2025-11-26A,1,1,1
2025-11-26C,1,1,1
2025-11-28A,1,1,1
2025-11-28C,1,1,1
2025-12-01A,1,1,1
2025-12-01C,1,1,1
2025-12-02A,1,1,1
2025-12-02C,1,1,1
2025-12-03A,1,1,1
2025-12-03C,1,1,1
2025-12-04A,1,1,1
2025-12-04C,1,1,1
2025-12-05A,1,1,1
2025-12-05C,1,1,1
2025-12-08A,1,1,1
2025-12-08C,1,1,1
2025-12-09A,1,1,1
2025-12-09C,1,1,0
2025-12-10A,1,1,0
2025-12-10C,1,1,1
2025-12-11A,1,1,1
2025-12-11C,1,1,1
2025-12-12A,1,1,1
2025-12-12C,1,1,1
2025-12-15A,1,1,1
2025-12-15C,1,1,0
2025-12-16A,1,1,0
2025-12-16C,1,1,0
2025-12-17A,1,1,0
2025-12-17C,1,1,0
2025-12-18A,1,1,0
2025-12-18C,1,1,0
2025-12-19A,1,1,0
2025-12-19C,1,1,1
2025-12-22A,1,1,1
2025-12-22C,1,1,1
2025-12-23A,1,1,1
2025-12-23C,1,1,1
2025-12-24A,1,1,1
2025-12-24C,1,1,1
2025-12-26A,1,1,1
2025-12-26C,1,1,1
2025-12-29A,1,1,1
2025-12-29C,1,1,1
2025-12-30A,1,1,1
2025-12-30C,1,1,1
2025-12-31A,1,1,1
2025-12-31C,1,1,0
2026-01-02A,1,1,0
2026-01-02C,1,1,0
2026-01-05A,1,1,0
2026-01-05C,1,1,0
2026-01-06A,1,1,0
2026-01-06C,1,1,0
2026-01-07A,1,1,0
2026-01-07C,1,1,0
2026-01-08A,1,1,0
2026-01-08C,1,1,0
2026-01-09A,1,1,0
2026-01-09C,1,1,1
2026-01-12A,1,1,1
2026-01-12C,1,1,0
2026-01-13A,1,1,0
2026-01-13C,1,1,0
2026-01-14A,1,1,0
2026-01-14C,1,1,0
2026-01-15A,1,1,0
2026-01-15C,1,1,0
2026-01-16A,1,1,0
2026-01-16C,1,1,0
2026-01-20A,1,1,0
2026-01-20C,1,1,0
2026-01-21A,1,1,0
2026-01-21C,1,1,0
2026-01-22A,1,1,0
2026-01-22C,1,1,1
2026-01-23A,1,1,1
2026-01-23C,1,1,1
2026-01-26A,1,1,1
2026-01-26C,1,1,1
2026-01-27A,1,1,1
2026-01-27C,1,1,1
2026-01-28A,1,1,1
2026-01-28C,1,1,1
2026-01-29A,1,1,1
2026-01-29C,1,1,0
2026-01-30A,1,1,0
2026-01-30C,1,1,0
2026-02-02A,1,1,0
2026-02-02C,1,1,1
2026-02-03A,1,1,1
2026-02-03C,1,1,0
2026-02-04A,1,1,0
2026-02-04C,1,1,0
2026-02-05A,1,1,0
2026-02-05C,1,1,0
2026-02-06A,1,1,0
2026-02-06C,1,1,0
2026-02-09A,1,1,0
2026-02-09C,1,1,1
2026-02-10A,1,1,1
2026-02-10C,1,1,1
2026-02-11A,1,1,1
2026-02-11C,1,1,1
2026-02-12A,1,1,1
2026-02-12C,1,1,0
2026-02-13A,1,1,0
2026-02-13C,1,1,0
2026-02-17A,1,1,0
2026-02-17C,1,1,0
2026-02-18A,1,1,0
2026-02-18C,1,1,0
2026-02-19A,1,1,0
2026-02-19C,1,1,0
2026-02-20A,1,1,0
2026-02-20C,1,1,1
2026-02-23A,1,1,1
2026-02-23C,1,1,0
2026-02-24A,1,1,0
2026-02-24C,1,1,1
2026-02-25A,1,1,1
2026-02-25C,1,1,1
2026-02-26A,1,1,1
2026-02-26C,1,1,1
2026-02-27A,1,1,1
2026-02-27C,1,1,0
2026-03-02A,1,1,0
2026-03-02C,1,1,0
2026-03-03A,1,1,0
2026-03-03C,1,1,0
2026-03-04A,1,1,0
2026-03-04C,1,1,0
2026-03-05A,1,1,0
2026-03-05C,1,1,0
2026-03-06A,1,1,0
2026-03-06C,1,0,0
2026-03-09A,1,0,0
2026-03-09C,1,1,0
2026-03-10A,1,1,0
2026-03-10C,1,1,0
2026-03-11A,1,1,0
2026-03-11C,0,0,0
2026-03-12A,0,0,0
2026-03-12C,0,0,0
2026-03-13A,0,0,0
2026-03-13C,0,0,0
2026-03-16A,0,0,0
2026-03-16C,0,0,0
2026-03-17A,0,0,0
2026-03-17C,0,0,0
2026-03-18A,0,0,0
2026-03-18C,0,0,0
2026-03-19A,0,0,0
2026-03-19C,0,0,0
2026-03-20A,0,0,0
2026-03-20C,0,0,0
2026-03-23A,0,0,0
2026-03-23C,0,0,0
2026-03-24A,0,0,0
2026-03-24C,0,0,0
2026-03-25A,0,0,0
2026-03-25C,0,0,0
2026-03-26A,0,0,0
2026-03-26C,0,0,0
2026-03-27A,0,0,0
2026-03-27C,0,0,0
2026-03-30A,0,0,0
2026-03-30C,0,0,0
2026-03-31A,0,0,0
2026-03-31C,0,0,0
2026-04-01A,0,0,0
2026-04-01C,0,0,0
2026-04-02A,0,0,0
2026-04-02C,0,0,0
2026-04-06A,0,0,0
2026-04-06C,1,0,0
2026-04-07A,1,0,0
2026-04-07C,1,1,1
2026-04-08A,1,1,1
2026-04-08C,1,1,1
2026-04-09A,1,1,1
2026-04-09C,1,1,1
2026-04-10A,1,1,1
2026-04-10C,1,1,1
2026-04-13A,1,1,1
2026-04-13C,1,1,1
2026-04-14A,1,1,1
2026-04-14C,1,1,1
2026-04-15A,1,1,1
2026-04-15C,1,1,1
2026-04-16A,1,1,1
2026-04-16C,1,1,1
2026-04-17A,1,1,1
2026-04-17C,1,1,1
2026-04-20A,1,1,1
2026-04-20C,1,1,1
2026-04-21A,1,1,1
2026-04-21C,1,1,0
2026-04-22A,1,1,0
2026-04-22C,1,1,0
2026-04-23A,1,1,0
2026-04-23C,1,1,0
2026-04-24A,1,1,0
2026-04-24C,1,1,0
2026-04-27A,1,1,0
2026-04-27C,1,1,1
2026-04-28A,1,1,1
2026-04-28C,1,1,1
2026-04-29A,1,1,1
2026-04-29C,1,1,0
2026-04-30A,1,1,0
2026-04-30C,1,1,1
2026-05-01A,1,1,1
2026-05-01C,1,1,1
2026-05-04A,1,1,1
2026-05-04C,1,1,1
2026-05-05A,1,1,1
2026-05-05C,1,1,1
